linea_entrenamiento_original,particion,grupo_sha256
35,entrenamiento_reducido,fe292d03e081c66d7afa6a4c4dd9516d7fc4b08e4500fce2a573d9716dfa71c1
36,entrenamiento_reducido,dd80b9cdc881ce4151b8e92c00b91ccbb02110ecd2e76d87b4a1843c5f8dbe86
37,validacion,3f633f779d2fc18d64da8d493ac942f9dc504930861809887732b687c1bbddda
38,validacion,1e9392fdf361de27af8c3b0ba3893cbc8c181ff13b8323edc8e616ec880ed14f
39,validacion,32b18ceaf60f17c0d9d74badc54deba9f0ef1ec614112723c068a8057044258f
40,validacion,339d6de866134c170145df129b9098cdf2fcc10065b6c8e6e923e725daa8abd8
41,entrenamiento_reducido,e191bd0c31dd795286ef990333b5c6ab9601c385447fd124e74aff22a29c2602
42,entrenamiento_reducido,51f311a185144040e250c8cc1d14c77283c35b5ce2012a2a2b389b1985e7b0b4
43,entrenamiento_reducido,ffeb9d140e271605440a43a545db659f156f58fd3380a2b83627d66893d17f42
44,entrenamiento_reducido,b9879738677d6d5ba5f8378221b43e2f62a53ef5293b1c5920e2c6f1eeebbed2
45,entrenamiento_reducido,62f98e38451b507f3fd952061a4cc9f0d52ded52194a67d6d984805ea151603b
46,entrenamiento_reducido,62d46c4286e8f83dd8adde4e3724611dbb76429c681f59fe11ed94f446110993
47,entrenamiento_reducido,a69559568350952a63c8a0939d8e340f932ea86e8e31a407477c4212c7844cb0
48,entrenamiento_reducido,9ffec88387edd5781bd5dc3756fc89d3cffae8b8a792db2b900f2453888af3c8
49,entrenamiento_reducido,b34cfab0a4fc54c22bce940530932ab530c59725b5ac7af009ad526f3d0fdba6
50,entrenamiento_reducido,7ada666ae6c101cae74f5914a872f2544ec80bd67a15238717709b7372a6134b
51,entrenamiento_reducido,e5982770027ee4cd8a6ebc09c0bac55fe81380efb84ef055f8fc8d6b08bab289
52,entrenamiento_reducido,e6d0b0ee7284f9332d845cce74966e550ed8633a89cb2a636c138ab01caa6afc
53,entrenamiento_reducido,7219192f799746fb19ec6884d065295f7cde87ad64b0fb118fb792cf515a5e33
54,entrenamiento_reducido,6d93473065ff41a9fbd9b33c83cb0ba8f8e5c4ef000f78a94cac087919b3041d
55,entrenamiento_reducido,652ecf445b4563f5838f6b43b5e7f5448b988822ffd9afa2b9181d56052e900f
56,entrenamiento_reducido,6be72e86990854bca9305eeb11b9972890dd539ff420d92a34852b88ff3da74c
57,entrenamiento_reducido,54271545f8fb7298cb9705a724f4ee118215d6834cceada24abf9df8ed1fd887
58,entrenamiento_reducido,ca7c8ac440406a1f69866d7c1806a747238ea789fe909c0d3b294f94333a80aa
59,entrenamiento_reducido,839e2df8c5766fdb99988bf6abcad1c3caeffabe8face4eefe1090946a4f5619
60,entrenamiento_reducido,989b09e75e1e55afbe57d66153b270a51ee9dd89db364bf369e44f9363292537
61,entrenamiento_reducido,deed9b47cf3dad1738d5fa4a8e86b439d3920feb1491fffb2f80189a06c42a52
62,entrenamiento_reducido,c05570767d8a3b60050e2ee1f667c2621c041ecc68ce99441262854d3a68acf6
63,validacion,317a813f96f569ec232610363948b209fa5316f192462d157fe1263935c109dd
64,validacion,0bb7ad7834d960d125826ef833303c248ee1d377641db0509b7551ce93f2ac13
65,entrenamiento_reducido,a55a4f3ba2163644f40119fdf611fbd7a28efc2c88de87037677bd5933e8e860
66,entrenamiento_reducido,6bd2e4bc5a68039994af421188764663c3eb81e01546b061f86e070086fb0b36
67,validacion,33afc2eb0a337ca560b31b7ca96fe26538b7b695ce6df29c9b37c3bcc81c8d45
68,validacion,2c87b67c9ad374ab699d1f65cdc2d060168b9f010d5b6b3d39801e6756ade289
69,entrenamiento_reducido,dad6efae118f3659fe11957fc4a3388489d3b5509bdb8e9c407a81c034b14cab
70,entrenamiento_reducido,c9451f4682867cb58ea6c8eb867bf912600a67dfb6617025ca8ad90851e91709
71,entrenamiento_reducido,d57924b1480ab121463c0a2303b0bf1cdcfcf2f7a6ee6bdb9d809f3016f04dae
72,entrenamiento_reducido,a4fcb01b766b5cfae24f9cac8a0e12238bebd9599736f69fdcdb404488243572
73,validacion,3598143404b2aac456aa9aaf839ce9bb261ce741cd9830ebe45cc9494ab9eb8e
74,entrenamiento_reducido,8d72ce40480787202050866c39e1747990246aa42c1a1b291d2e2bf4d4ed3cc5
75,entrenamiento_reducido,eb7d018e5db7f62f53c91b412374e8b45764db4813389a3efd3687b63fd079a4
76,entrenamiento_reducido,f0e6c98d0da6e763c5940d1ee3d5dd5935ca833d0a5fe12e4a162d4ffe343ee6
77,entrenamiento_reducido,ff70f3ed14787a96a2a90d8e4111796d7fdc224aed823564e6ba2e23fd72d7e1
78,entrenamiento_reducido,8ba78968687ed267cc16a6f6386e23fa344bc5eb49cb839b450d886320237a9a
79,entrenamiento_reducido,a4d89f876eb71a7ce78aa5f2853ccc8500ff604b9ad65877712080349c99cbb0
80,entrenamiento_reducido,a1f57875cc7d284da211f7659b97c13b6d24bd92f1525a920ce8d5bfa0e1214e
81,entrenamiento_reducido,8b30c7e3712ac5ace8b16eee8ca8edb9e4ffe0919bd78b2453050f68fa67ed95
82,entrenamiento_reducido,4e7a4e62d24dc907a68e808e4e7b538fbf56b6cdcf31d2d2251a0a78e6b2c156
83,entrenamiento_reducido,a3360680edd550f732fe51ad3b9edb549450026c9d9d4c97f7893b0c1ba34d2d
84,validacion,0765b82e65272f99f2a98dd318d482482d970ff975f3577d56b8703e8802f3b0
85,validacion,00194643fe0312e08eb507f1570ea314032df9578304853c2623eb207a4406a4
86,entrenamiento_reducido,41edc1f72a86ba0c487f7c128d72b9c092fa77c12936bdf392b79e7764ea2e71
87,validacion,1a8a7ed658b254693d63aa26e74e3b87b5bf28bfcde25f978cc953a7369d2043
88,entrenamiento_reducido,45bb6535e810507102b10fcfcbdb21de298801580db2165f6d1390ebbea061fc
89,validacion,24972b0d55becc5892529aeeeb557e8431225106fec91c7592249619a98090f5
90,entrenamiento_reducido,c5f069cdc3f847e46cdc74aec00885e2f645b8073392a32ddc6b6f4bdb2e36e6
91,entrenamiento_reducido,a5de6bf6b0a258f20da1a2be24c1a6d8723f5a7d64023ba313d177470c729c8c
92,entrenamiento_reducido,4f8fa904b583b42d829be52b970b7d111ac0b5811994336cdc1897c68be67777
93,entrenamiento_reducido,7b53daefcf0f95b5af5ca37f6be696b4649bdbd7963264adaa9583be2b158b06
94,entrenamiento_reducido,ffe1feef137cb8dcb44178b26abe87d39e6e1882ed763be7babe89ae48de3499
95,entrenamiento_reducido,9de9016665e6eca573d9c0a0cfc87ec0254ac33cfd0e1161eac231a592ea0f8a
96,validacion,3df7e3db835e3a37aff3da591df7017aa6690a6294274ae1b288705ae2329ab0
97,validacion,224832d87ce2877364253ae65bd0457690e802d2d6b5a2f7425c26f50e26e391
98,entrenamiento_reducido,617b2367566a4e4ba27adb797d98e78e0f13d9f65d838577d6053ceea3e5965e
99,entrenamiento_reducido,40efcdf41bd8d46c5ec143051f46dfb10cfa099054c88f7833e7cbb0674c5fa2
100,validacion,1c60e6b0fa0930a4efcd1fd19a25ba822209e83f35749789c347b5d7a6a1b5ab
101,entrenamiento_reducido,729b5cd2c817462dc71ef517c293370254a1ea8706606c6321107219220d89d3
102,validacion,3d490252247ad5a74cf3b4ea2d7d915276d7e31062e266f9d77723bb81b05283
103,validacion,041b742b8ff3394021828247813b1ac24b8dd0808d8569864f07ec50be56f59d
104,validacion,258e87db4b274ce134fd9248325195070c3b4d7936edff16c464240605bf2281
105,entrenamiento_reducido,cce20323c8421f5cca694a06ed7b582f144797d3a5b2b9324d87b6351236dbbe
106,validacion,22f471920e9630ade42b50cd0bc46cb98c824819030e4071e0cea8e49354c91a
107,entrenamiento_reducido,5fa76a4f0b57fa8fbe5cf8e40e599cf280e3ab3d57db728085d13fc413965aa3
108,entrenamiento_reducido,b77dce23f75f61a5d4bdb221c1bd394fb6884969c31ae1ccb5ac769391854240
109,entrenamiento_reducido,841f003fefb50d7ed114096b60a482c7f9dcb6d93f6e706d69e69d4eb929a865
110,entrenamiento_reducido,de22fa796dba7d3a26ac8f4c2b389027bf00577f37787c72683ed7e6b6ec7dc3
111,entrenamiento_reducido,fe7ca1a77d978184679284b0d44cc35705d02668499241b941554d16af973c35
112,entrenamiento_reducido,c3ae5cb07a6e4dd1b2626ac3e7ef667ea80f4a3651fec53bd3e85e62a8027d00
113,entrenamiento_reducido,40e7340d3d4d7283c6673e1445758701066ddddccc198e2a2365a3a938a3aa57
114,entrenamiento_reducido,b0c7b895a9a5fabd7a07903bc1cbc32e9a441042ad5684a844f1be016bbc0bbe
115,entrenamiento_reducido,5ea0eeec589deba830be7a1f13e23eda386c22fbed36a7fcdea103864e62f8d3
116,entrenamiento_reducido,e4a855cdc24efe89879ab3354d44fa856b9a50be20755367a53968d29c77a727
117,entrenamiento_reducido,565151cc5e1102d8d4b83e40f7e517c034a1aa13fa0215d1ce6adf1469d9f532
118,entrenamiento_reducido,ac5715b55e1abefd7bf7c3acc9b6310bb734f44e5bc78562de56217c78f11b47
119,entrenamiento_reducido,ed84032914f5fa2eb9db4e20deb96539b6fffe711f3cead3053d69678decec54
120,validacion,32af26533da1307ed5143a484e41cd9fb0426b7055496356a7a6de59096937ce
121,entrenamiento_reducido,cbf2708e22d34afc1d1b93557354faecb8d489c72d790ed17ea1ffade3a75245
122,entrenamiento_reducido,47cafc7d9e9e0f1e886ccd1586bd866bcb81632615c8650ad760fa168301aa99
123,entrenamiento_reducido,cc105f7853a0c190e13a2e77a872e1715d735fdd8a4c4799570c50301e423533
124,entrenamiento_reducido,bb7fef960cbcdc506b24992fbbf9a11359169c2b20ebefbea4330a0a1a784396
125,entrenamiento_reducido,4af4aa23e39603d4591054a8dcea94175cd532444d49b41f23aa3778cd5cb333
126,entrenamiento_reducido,9cf3581a3eec73f05ba813a8dc4f6a12e1607181557a65108bc3bf1a7aefd4d0
127,validacion,1b44527992c2a86e40b8b97108ae598b0e6b1d1daefea76f7969856f33724260
128,entrenamiento_reducido,514291e772a3c9dc37803cc7e8a925678390531cbee5ef9efb1c09654b3ac3c9
129,entrenamiento_reducido,e666c8bf4130f83a2d189cc956c8ffb8823d4d0c9e44a914fb857d4c26c77c0f
130,entrenamiento_reducido,e279da941c0aa060ea0f36ac2a212460ce8c4dc3a245aea99ca2c8c0ef003bc7
131,validacion,26fdbca3acd73d32c84d40d6cb4ad7fd53275fa0edd86883205e555d780a3d27
132,entrenamiento_reducido,e72f537f4074c08577ccdb33d39f12431ee06ca7cdf546e268683088f6359e3d
133,validacion,1917a2ce2b64a96606aeccb8746421f9bc11effba9cadd0047b7e0353fac784a
134,validacion,11469e1d585400fca809a29a58549a46a0e2c429de2c1fc3a1cff3981cac4c29
135,validacion,00c345051d241641b7e8aae77aed7d056f1370eb77279cb8de243b5a6b6f733a
136,entrenamiento_reducido,89f186b215da0a78c1c7bbe6adab6080bdbbb1eb5ef5f1c6afe379112c2d8479
137,entrenamiento_reducido,43a8af95ed4592add01cacf4abc211c3a2764ed01a3836fdb5124adf975b85db
138,entrenamiento_reducido,fa4c63da2e897df5768fec5cab0b2ff5bdbae62d69b6fae5ca5ff11b7e72c486
139,entrenamiento_reducido,4cd7b4368371c193ae26d8d0d1c061d4d47e3a987ffed7c9514ba676d9afbf00
140,validacion,38657005a9e7b8e5fea24c090e65f92267bd849edbcac3a8ba002424b3416c47
141,entrenamiento_reducido,466642b1ccc10ee9e79fc7f99a8d8756d17317fb6e794414ac9b048828be252d
142,entrenamiento_reducido,e7cc5ca752beadf68713d464c1858a27a7de5c46431eba43df2f9919c0b347f4
143,entrenamiento_reducido,4232da4cf214bc81b79710d71e5918e10f6eccbb34bde378cab4762562da78dd
144,entrenamiento_reducido,415d75e58de1819f8c15e8a795e9bb358cf3ac528486b1269ee3cf734dca453d
145,validacion,3a966c2db18cc8dfcb2f64e2a96c0b037a8ffb80257763bceade773788d8c3ce
146,entrenamiento_reducido,e460d17e6c502a9f34669995634fa9cd81cfadcc7e6ca2f0b020fb4c94c7b7db
147,entrenamiento_reducido,fb4cfe9b7d98a9bbbc8a87b7d5df5e78dd3df4350de0f694a22554da256a9260
148,entrenamiento_reducido,edc1a7140caecf22aa1f23da8ad35132a4f9fda1bdbeaed58310cee76e628c37
149,validacion,11da29698ed529bf204320b249431283e51d306cbef4db23cd32a8c2d8381db5
150,entrenamiento_reducido,8805a0ae09177060ae9fd0fccfca6084f95d5ed17bc6fda7b145c40d9676d8cc
151,validacion,29e5544d6aad4857fa93c89646f28536519a4dac0face3f5d505e6d5b201b490
152,entrenamiento_reducido,61cd1f3044a155a4faeccacc62100a8033446677e09bbb6ec12413282385daad
153,entrenamiento_reducido,82948a8d52930cf146a009812b930c311eb9825a6408a05f99094bbc5c2a249c
154,entrenamiento_reducido,5f6668ca24dd4cef4727c84a33a2b484bffb0c2b398a0590cce546b7bdc4f74b
155,entrenamiento_reducido,a5efd4bdf77309f826cc8ea797886328057d3698a0799c3ffbe020bbee71f37c
156,entrenamiento_reducido,95c7eecdc3b32116fbf0bc7d9afec1d2e73baa8dc9b2717ad6d2eea4882fb3d5
157,entrenamiento_reducido,4f5147dad0a1e07b619a84baa8f06eb3bad4a784afde9eed3d252bbfddfca056
158,entrenamiento_reducido,cd6c0947b8292e3a2b696406a7c9a0ae52fcdae5a23cbc83ad8a951bc3292a8b
159,validacion,0deb5852be6521810ed894e8296503c9d6bca3bb6cfb1fe3b891ea7b3644ac97
160,entrenamiento_reducido,da86059df2f4a37794b3b257b5cfb140621769158d8bf600539edab5e42fd0c3
161,entrenamiento_reducido,e29f1847cf75a1ece4cc587c29f19206c4d1f6ebd8410f746c382c10617b5e96
162,validacion,38e9c828c735615aa8af28ec20e34f4ee15aa410a47c8d414ec1e080cf6ec3a3
163,validacion,2979e6fb95a7555f827a735e2368fd99915edcf72ef773f486f3aa3b5077e7fa
164,entrenamiento_reducido,788a21e800c2bbc291520c4aad50c9e229eb4e6bb265de88678d9b39e1f40960
165,validacion,32b4069dba5f7a0fc767765276b1509f3074701a505afffc57c6b5904d59efc7
166,validacion,31a37d464659c6fb4d925cd78d626ed022d5450f144b894608cb639649277038
167,entrenamiento_reducido,bfa6d5589dd289ae4489005095126c3de671609e4e2a798baa724f5ad7be9995
168,validacion,1a0f248f8bc87442e535efef10eeb688f71ea28f55756eb8ce2b14d1aaeef752
169,validacion,3df307417f087259c8fa36aea2b573d6d4502d62af5ae1ccf9aed60fc6494309
170,entrenamiento_reducido,a470d355ac57546781cfe1ffd972694ee013d1f34b40fe813c9d6fa5bcd39f33
171,entrenamiento_reducido,df1d3daeb52392b2e13348b28db28c071689375108f1575dfb04c38dac0b531d
172,validacion,180f28cd815b0542b39571fd265ccd36325780c707c281d386b0115f58d8cb27
173,entrenamiento_reducido,8db72043c249a86a4ad6c87522dcdb1ff65628a75df39b3825bf8d6d58e3ec43
174,entrenamiento_reducido,87d1f403a664ec7765133cf22da404ca1c15fc4a1fde0fca21c270d06ac0bcc5
175,entrenamiento_reducido,d7d1f112cc5b3bbd3457f8af8188a504c1ea4def4283117c5617abaf1f364d62
176,entrenamiento_reducido,45ab83ca48c8e6ff347c4c5aa8a9d4ba7870edf27cef0f136ba1c9be73c5dcfa
177,entrenamiento_reducido,42a1fee159a7e64de71b65705de4fc9397b5980aeb3457ce3e172729936199c8
178,entrenamiento_reducido,d0d7899bd1865241a35cb3f69c33a94567ecdd09b510fbdb32a9f36ee716e2cf
179,entrenamiento_reducido,9a567a75b3695e85679e40dacccd22ddc94e89677a37def264cbc217057eb277
180,validacion,2ca4e88e612ef757c38630e130ffb90732e0ac001bca908f9496ce60e460dcc6
181,entrenamiento_reducido,e65f941a7c0c58d492251aaed9fafae6858ad2269fdd80764ee422b26873db34
182,validacion,11524bfad0e3615081049bf9e4e2176e0eead62d530f271c16be7438d938ffd3
183,entrenamiento_reducido,d54874e32e827f16745510984de3ce18ad4846ad98d2c596d3b992998ed5f9f5
184,entrenamiento_reducido,fd01b532d997d2882b5ddb73eb7c2442cbbf26a70af1225838a40c8e7f947d78
185,entrenamiento_reducido,f005b8ece9dcfd635f72391d3c0dba406c917fd210251cfecad1abf0e412a2a9
186,validacion,3234026fc479332b10c7c9616e88d41f076db9c038b4d8d2eee61834abd2c1d9
187,validacion,1cff45dcf43db0bb0ca1719ae31dfe9251dc1dd577a823641f75281f37f8c9e2
188,validacion,26e193520264d528de9af1e7f2ad196c7acaab12874974dd4d0a9f79a0f7395f
189,validacion,066fa4b53506c682071c78d444b844e6be580d652bb814826fd8343393c94356
190,entrenamiento_reducido,9e718f059ac22ce55ee3c73242d1e07b1cb4b4a8a8875652f326af1998b7fea5
191,entrenamiento_reducido,74539438f5b0ee20f54c2c072056514885bef5728b6cbfe52479bd718386aea1
192,entrenamiento_reducido,8a3189da313f05aadccba9d29c60a822f38d1bebc90747bdba4c28b406dcb511
193,entrenamiento_reducido,d3ad7fdfb47020aedb9663e2d17802855cc8c9ca855563ee1e69a244bcf2def1
194,entrenamiento_reducido,65d5ac5d0dc390e36766d504dd59d6c3376b1a429065172c0c7cf49588985ba1
195,entrenamiento_reducido,5585240a67eabe7125a50c305f3cdbad6db7e9f966bee35845559f7cbd06d571
196,entrenamiento_reducido,b368b1e15ac8668203eed27aab12343889773cb5909537263fedbd766271506d
197,entrenamiento_reducido,69b98669825d30539e4750d68688a0e0f71e0f0749bf9be978e833f7320f5aee
198,entrenamiento_reducido,d3a5ff2bd34c021ab0e256508d10552a970297bf3cd1dfdbff3880a0df9bb220
199,validacion,2d6a3d4f71a4c3a8a64095b97966c921e9470315d060d85fa8b3b5c8ff298bc0
200,entrenamiento_reducido,fcb4d0cdee27b4ee0db2613a3d6412bdbe1d0fea11ad2ccf2ff9685b7ab86a3a
201,entrenamiento_reducido,84970622d62d13c1066fddeb805ee429a70dde246d73d89e0c497d46046bfa9a
202,validacion,1975b9d499a8491dfff6d5b0827abc6307f8f6a5f22429944fa17e9ddf8c7e51
203,validacion,14c871efb2ba033784756a07fc0bd0867f217300337f9c4fc5d166f745f718c5
204,validacion,12026cb9728778f97b4dc61e496febbc60f6b687b467d9dfbb66a05f7c7805fa
205,entrenamiento_reducido,de40655b66383e6eca70917485bc611c965efad7c001416a94af628d1cadda0f
206,validacion,166c984f652568aea7d61b65e386919368ecb23cb834c4abdcc4bd65e72bbebf
207,entrenamiento_reducido,aea91c97c1b1608fc7ffb83f769d6dc76c202ea17bb53bc2bbd2faf6d8d5aee1
208,entrenamiento_reducido,47fa039bb49d8652d252eab3a72f683fcaed2054edf05b296d7f9867423df81d
209,entrenamiento_reducido,60ba54fc940eb82c0c8a55c9db32d184d0149ed62db962c760e6147eca0e6c28
210,validacion,2b0ab39dabd2f062eb623602ab9b24cba4cd97c6625957da82a7c6a6672a7197
211,entrenamiento_reducido,67397adb6e9b654e3d80b1bc238abfe873f80d9261562897bcff2155f3782a37
212,entrenamiento_reducido,f3a36fa179ec483d5b8c76e2389dfb7166c96b4a7ec7c9368f77a67e9f30df8a
213,entrenamiento_reducido,775082870881eba5a35782af5e21b44ca05f540bc541370962af16f64db758b5
214,entrenamiento_reducido,9c67990962427dea35c79008ba02c4ab7aeeacf1df4109d2ab85e04dfb3fa9c3
215,entrenamiento_reducido,bcf2b02ee039db33255722280fcc8d883204e9a6f010da7acbc51521acf3eae0
216,entrenamiento_reducido,76368c5969bf5f83a1291d3dee1416661e5ead1054a5d6daa229c1b9ac459196
217,entrenamiento_reducido,4cee3b6dc27f341f758489d80fb7b671f369126fac4f003c6a1486ad6d711ef9
218,entrenamiento_reducido,9c492f875b4dcd70dd1705b0086193fdda7e7ef1b133a595a4bcca4ab630ad41
219,validacion,171b0aea4a360a2b8638b0de0a25d7ebcadb48d561049ca9626aece7822c9071
220,validacion,172fbbaa39d68c020b29232eb8e5aa77b073ed410a20bcfc9bbea227e2c61992
221,entrenamiento_reducido,e7b1a96e091364a6119c0c4d62395fd29cae97f057bccd87b1f8d494b66b50c0
222,entrenamiento_reducido,c973284d9f0d9b8643dd4264639790791e97ade2d60bbc9007224b30f9268358
223,entrenamiento_reducido,db11005bd124a4c49dcc29f441ec815cdd8df25427e6f010aaedd90be24b2ef9
224,validacion,38bd6c781d4966cb77ec9bdce56af6760b4e80a926b3e1cacc418c4c8a26ed40
225,entrenamiento_reducido,f46902db528ea4b13ccf9fcd8c0fe72dce25ebcf9c4ddde9afdbb1f014b92c1b
226,entrenamiento_reducido,dce2f48c522dfb0730fffd5771e104939e394f286f30dadf3eaeeda5cd99f0d2
227,validacion,2610ef0adce18a0210b690f1c0d4bd9b54b324e5c41ba4446151ea7427425c26
228,entrenamiento_reducido,992eb6dc120f314d1a7df60b88f0b77373c357530565dfec9e70937b6e8349c0
229,entrenamiento_reducido,5ff021e7c8e8533221ed520ed25b082aa2b30e2ed58e77f904e1b5884a1e3b31
230,entrenamiento_reducido,ba5d19a8c2649e76d43c5853db664fa4e0ddeb24edbc2c7573b2191ed5be51b9
231,entrenamiento_reducido,7d8f31f7b5f133dce3f65198b7af14db336eb838238ac11bf7a39d9e40757f59
232,entrenamiento_reducido,cb452bf259391d5eabf85bbbf2fc19c5cb8cc27c8247848368ebd3e2995ce507
233,entrenamiento_reducido,be8cdb0914fc57b4be344f9778f8f9372e8cf8102f234e9855c64250cffaf131
234,entrenamiento_reducido,dd8bacdaef28aedbcac0f8dd65f831fe413ca6b04e381b39192a5c8e4e321f82
235,validacion,37c06decc89e22117cc5336570122d891440e66b8e57d347d559bb488160be30
236,validacion,28f8b92955401ab21534409d10b46e81f21fdaf3b7bf0a4e0c713b066f399c9b
237,entrenamiento_reducido,a01d90e113320dc6dc3133083f3a1a711dde81a5de1dc26f2ed1e297d98f1a72
238,entrenamiento_reducido,5be6912d56a8af5ab0ede9012b298889c11aecae337da383b4daaed7c57dcc55
239,validacion,0cf69ff74393e54b07f9f8a29a5a7c381bfbb74e278820f37b5e18ad2fd70178
240,entrenamiento_reducido,769676f4a1ffe0803b894358e12e828fbba46fd8fa13e6b0dd28ddc3ac5f93d7
241,entrenamiento_reducido,692f1020d6510c47fe4e180fce6ea580e1232ef740632a8979de3e58342b0abf
242,validacion,09c5652a6af40a88d064784e5af417c9a5fe0ccb5fa5138bfcb8a799dd390f8e
243,entrenamiento_reducido,ca8595e35bdf728bc94042d8dd83c87a1b02b8f7390eaea3e57aaf0ab6befcdb
244,validacion,11a2840f9aadb61d3dbaf5dceb8f3aabb32a8fc16cc8f6bd120249fb0da952fc
245,entrenamiento_reducido,bddd6ab62eb9ccbd1834f08210e40bea7aaa26a2872f63021794a2c55531076c
246,entrenamiento_reducido,a3a4418e12b23fdb29c9a98fd0691122cddb3d3dbf9871ebf47a734de9af7a79
247,entrenamiento_reducido,4dde8522e83a609cb14e597160e609048d6847f3acadf2ef792b156eea49a345
248,entrenamiento_reducido,a5da2fb27abe17e43c9584a689d7d755973d4479b1ff3dd9e16b3fe78bf197ca
249,entrenamiento_reducido,debdceba01da89842cc788e09fa86ea47d93a9211dab140bc6aa1ec3ba38c292
250,entrenamiento_reducido,a75d1a96b9b73718e23c27b41d0984baada82518862c44906a18ce63806c6d9d
251,entrenamiento_reducido,8980eacb7a7e11dc2d23aaa3023cdae26ed666b2c3199a818bef8738ce3de88f
252,entrenamiento_reducido,f89c03d5e1f83192857a7c07b894d67e1cd9a8f4edad38d9c67a1a0e15f1de00
253,entrenamiento_reducido,47cb2643c22c3ea233d8408cb32edfea483e6c828546e1a7de1b34c9d82f3468
254,validacion,384bf99ee7540f313ff5a8c3681dacac8143416dba135a550e982036e11843d3
255,validacion,1edadbba4b38a168b262cd56739efd096af2f0a9696274fc21474e145b2eb26e
256,entrenamiento_reducido,8771d8fc0b4ceedb9889150af9144de855af694d6933c432b36029a1c890691c
257,entrenamiento_reducido,7a5fcca528ed6289d889058c03cf287011a377c5d2dc12465d558b64ff43a54a
258,entrenamiento_reducido,7a5fcca528ed6289d889058c03cf287011a377c5d2dc12465d558b64ff43a54a
259,entrenamiento_reducido,7a5fcca528ed6289d889058c03cf287011a377c5d2dc12465d558b64ff43a54a
